# work/pieces.csv — master piece index for the build
#
# Schema: id, plate, section, bucket, status, notes
#
# id      Three-digit zero-padded piece number; letter variants append a-z
#         (e.g., 004, 092a, 112a, 121). Matches source/pieces/<id>.png.
# plate   Letter A-M of the printed plate where the piece primarily appears.
#         Some pieces appear on multiple plates as duplicate copies; this
#         column records the primary detailed-description plate from
#         source/transcriptions/embedded-labels.md. Notes column flags duplicates.
# section Functional group: framework | motor-wheel | middle-wheel | escapement
#         | anchor-pendulum | hands | reduction-gear | weight | face-case | reference
#         (book sections II.A-F, refined). Used by the viewer's hierarchical
#         Object3D groups per work/SPEC-3D-VIEWER.md.
# bucket  Tracing strategy: auto-trace-clean | auto-trace-edit | hand-trace.
#         Populated only for plate D from M1 (gen-1 era); blank for all other
#         pieces until each plate's tracing pass assigns one.
# status  pending | captured | reviewed | traced.
#         'pending'  = not yet in source/pieces/.
#         'captured' = source/pieces/<id>.png exists, but the PNG has not yet
#                      been through the human review / cleanup pass.
#         'reviewed' = source/pieces/<id>.png is the build-grade artifact:
#                      Alan has tightened the crop, masked the background,
#                      corrected orientation if needed, and signed off on it
#                      as the canonical input for the trace pipeline. Every
#                      piece must pass through this gate before tracing.
#         'traced'   = work/pieces/<id>/piece-<id>.svg ships.
#         Status flips are deliberate manual edits; the M0.5.2 ingest skill
#         audits and reports but never writes to this file (read-only contract
#         per CLAUDE.md "Architectural Decisions").
# notes   Free text. Cross-references, glue-mate pieces, partner pieces,
#         duplicate copies on other plates, special instructions.
#
# Generated 2026-04-30 from source/transcriptions/embedded-labels.md +
# instructions.md, replacing the gen-1 11-row plate-D bbox table. Bbox columns
# are gone: under the chunk-and-crop onboarding model, source/pieces/ already
# holds per-piece crops, so the pipeline reads them directly without slicing.
id,plate,section,bucket,status,notes
023,C,framework,,captured,Wall-bracket box development; tabs to 25
024,C,framework,,captured,Wall-bracket box development; tabs to 25
025,C,framework,,captured,Tall wall-bracket main panel
027,C,framework,,captured,Pendulum-support spacer (small piece carrying '28' label); also appears on plate G
028,C,framework,,captured,Pendulum-support spacer
004,D,framework,hand-trace,captured,Long main frame column (front center); axle holes; positioning guides for 91/92
010,D,framework,hand-trace,captured,Long main frame column (back center)
018,D,framework,auto-trace-edit,captured,Back-of-frame L-bracket; pinches pendulum blade
019,D,framework,auto-trace-edit,captured,Back-of-frame L-bracket; pinches pendulum blade
026,D,framework,auto-trace-clean,captured,Wall-bracket wedge; glue to strong cardboard
029,D,framework,auto-trace-edit,captured,Cross-box flat development (connects 4/10)
030,D,framework,auto-trace-edit,captured,Small box development
031,D,framework,auto-trace-clean,captured,Flat oval/leaf tongue; glue back to back to 32
032,D,framework,auto-trace-clean,captured,Flat elongated oval (pairs with 31); also appears on plate G
091,D,hands,auto-trace-clean,captured,Small square spacer; glue to 1mm cardboard; aligns to piece 4
092,D,hands,auto-trace-clean,captured,Disc spacer; glue to 1mm cardboard; aligns to piece 4
039,E,motor-wheel,,captured,Accordion-pleated pulley column (glues to 38)
060,E,escapement,,captured,Pinion for escapement wheel (rolled cylinder)
074,E,anchor-pendulum,,captured,Thin strip (hook form) at bottom of plate E; small fragment also visible on H
078,E,hands,,captured,Hour-hand wheel; glue back to back to 79 before cutting teeth
079,E,hands,,captured,Hour-hand wheel partner to 78
082,E,reduction-gear,,captured,Reduction-gear accordion strip
083,E,reduction-gear,,captured,Reduction-gear accordion strip
103,E,reduction-gear,,captured,Small reduction gear with central spiral pattern
104,E,weight,,captured,Weight-cylinder lid disc; glue back to back to 106
105,E,weight,,captured,Sawtooth gear-teeth strip
106,E,weight,,captured,Weight-cylinder lid disc; partner to 104
107,E,reference,,captured,Axle-dimension reference lines + legend (not a build piece)
111,E,face-case,,captured,Face-frame horizontal rail
112,E,face-case,,captured,Face-frame horizontal rail (mirror partner of 112a)
112a,E,face-case,,captured,Face-frame horizontal rail (mirror partner of 112). LETTER VARIANT.
038,F,motor-wheel,,captured,Large motor-wheel front face; central star cut out
046,F,motor-wheel,,captured,"Pulley plate (paired with 47, glue back to back)"
047,F,motor-wheel,,captured,Pulley plate; partner to 46
048,F,motor-wheel,,captured,Plain disc; glue to double cardboard
049,F,motor-wheel,,captured,Small disc (plate cap); also appears on plate G
058,F,escapement,,reviewed,Escapement-wheel disc; glue back to back to 59 before cutting
059,F,escapement,,reviewed,Escapement-wheel disc partner to 58
061,F,escapement,,captured,Star-cutout disc (pinion-stack)
062,F,escapement,,captured,Star-cutout disc
063,F,escapement,,captured,Star-cutout disc
064,F,escapement,,captured,Star-cutout disc
065,F,anchor-pendulum,,reviewed,Zig-zag anchor arm; 'axe R' label = rear axle
066,F,anchor-pendulum,,captured,Pendulum-blade tube/casing development
067,F,anchor-pendulum,,captured,Rear plate of the anchor; flap labels a-f
073,F,hands,,captured,Star-shaped hands-assembly wheel; cut out center
075,F,hands,,captured,Star-shaped hands-assembly wheel
076,F,hands,,captured,Small rectangular piece for minute-hand assembly
077,F,hands,,captured,Minute-hand holder tube development
080,F,hands,,captured,Small rectangle ('Push into wheel 78'); 'rear' label on one face
081,F,reduction-gear,,captured,Reduction-gear stage piece
084,F,reduction-gear,,captured,Reduction-gear stage piece
085,F,reduction-gear,,captured,Rectangular strip; +++ along length
086,F,reduction-gear,,captured,Reduction-gear stage piece
087,F,reduction-gear,,captured,Reduction-gear disc; cut out center
088,F,reduction-gear,,captured,Pulley/gear stack disc
089,F,reduction-gear,,captured,Pulley disc for hands mechanism; also appears on plate H
090,F,reduction-gear,,captured,Pulley/gear stack disc
120,F,reference,,captured,Axle-mount cardboard square (model for all mounting squares)
033,G,motor-wheel,,captured,Large disc with internal triangle (motor-wheel back face); a35 corner labels
034,G,motor-wheel,,captured,Long zig-zag teeth strip (motor-wheel teeth); engages between 33 and 36
035,G,motor-wheel,,captured,Long zig-zag teeth strip; folds into cone braced by 33's triangle
036,G,motor-wheel,,captured,Large motor-wheel disc with crown-band of vertical hatching (teeth band)
037,G,motor-wheel,,captured,Long thin strip with vertical-hatch (motor-wheel tooth strip)
040,G,motor-wheel,,captured,"Pulley cylinder; glue ends together, slip over 39 with arrow toward motor wheel"
041,G,motor-wheel,,captured,Pulley shaft; marked end glues to 40 (a/b alignment)
042,G,motor-wheel,,captured,Pulley drum; covers wrapped end of 41; arrow toward motor wheel
043,G,motor-wheel,,captured,"Pulley throat (with 44, per Fig. 13)"
044,G,motor-wheel,,captured,Pulley bearing disc; pairs with 43 for pulley throat
045,G,motor-wheel,,captured,Short straight strip; wraps around cylinder between 43 and 44
050,G,middle-wheel,,captured,Large disc (back face of middle wheel); glue back to back with 51
051,G,middle-wheel,,captured,Middle-wheel disc; partner to 50
052,G,middle-wheel,,captured,Middle-wheel disc; glues to 51
054,G,middle-wheel,,captured,Star-cut pinion piece
055,G,middle-wheel,,captured,Pinion (with 54-57 stack); pushes through star-shaped hole
056,G,middle-wheel,,captured,Star-cut pinion piece; slips over pinion 55
057,G,middle-wheel,,captured,Star-cut pinion piece; presses against pinion top
053,H,middle-wheel,,captured,"Small disc with starred center (pinion-mount, middle wheel); also referenced on plate G"
068,H,anchor-pendulum,,reviewed,Anchor fork; passes over beam piece 9
069,H,anchor-pendulum,,reviewed,Anchor-bearing box; + center mark
070,H,anchor-pendulum,,reviewed,Pendulum rod (long vertical strip); receives 71 at bottom
071,H,anchor-pendulum,,captured,Square ring; cut out center; glue between b/c of piece 70
072,H,anchor-pendulum,,reviewed,Pendulum blade with mounting-pin hole; squeeze into 70's slot
092a,H,hands,,captured,Narrow tongue piece; glues on top of 92 and 91 with axle holes coinciding. LETTER VARIANT.
094,H,anchor-pendulum,,captured,Pendulum-bob outer casing (long tapered tube)
095,H,anchor-pendulum,,captured,Pendulum hook outer shape; receives 96 in bottom
096,H,anchor-pendulum,,captured,Narrow cardboard reinforcement; glue to 1mm cardboard
097,H,anchor-pendulum,,reviewed,Pendulum-bob front face (large round disc); 'apply no glue here' inner rectangle
098,H,anchor-pendulum,,captured,"Bowed retainer; glues to 97 (bowed when glued, holds bob in place)"
099,H,anchor-pendulum,,captured,Saw-toothed crescent (decorative trim)
100,H,anchor-pendulum,,captured,Bob-position disc with F (fast/up) and S (slow/down) arrows
118,I,face-case,,captured,Case-side panel; * pin-hole markers; glues to b119/c119 underside of 117
119,I,face-case,,captured,Case-side panel; * pin-hole markers; glues to b118/c118 underside of 117
101,J,weight,,captured,"Weight cylinder development (rectangular sheet, multiple horizontal folds)"
102,J,weight,,captured,Wide labeled strip wrapped around 101
108,J,face-case,,captured,Minute hand (solid black silhouette); glue on heavy cardboard
109,J,face-case,,captured,Hour hand (solid black silhouette); glue on heavy cardboard
117,J,face-case,,captured,Case top with chamfered corners; central 'front' tab
121,M,face-case,,captured,"Clock face: tan/brown border, off-white field, numbers 1-12, minute marks. Not numbered in print; assigned ID 121 for build authoring (closes the gap in non-contiguous source numbering)."
