# work/pieces.csv — master piece index for the build
#
# Schema: id, plate, section, bucket, status, notes
#
# id      Three-digit zero-padded piece number; letter variants append a-z
#         (e.g., 004, 092a, 112a, 121). Matches source/pieces/<id>.png.
# plate   Letter A-M of the printed plate where the piece primarily appears.
#         Some pieces appear on multiple plates as duplicate copies; this
#         column records the primary detailed-description plate from
#         source/transcriptions/embedded-labels.md. Notes column flags duplicates.
# section Functional group: framework | motor-wheel | middle-wheel | escapement
#         | anchor-pendulum | hands | reduction-gear | weight | face-case | reference
#         (book sections II.A-F, refined). Used by the viewer's hierarchical
#         Object3D groups per work/SPEC-3D-VIEWER.md.
# bucket  Tracing strategy: auto-trace-clean | auto-trace-edit | hand-trace.
#         Populated only for plate D from M1 (gen-1 era); blank for all other
#         pieces until each plate's tracing pass assigns one.
# status  pending | captured | traced. 'pending' = not yet in source/pieces/;
#         flipped to 'captured' by the ingest skill once source/pieces/<id>.png
#         lands; 'traced' once work/pieces/<id>/piece-<id>.svg ships.
# notes   Free text. Cross-references, glue-mate pieces, partner pieces,
#         duplicate copies on other plates, special instructions.
#
# Generated 2026-04-30 from source/transcriptions/embedded-labels.md +
# instructions.md, replacing the gen-1 11-row plate-D bbox table. Bbox columns
# are gone: under the chunk-and-crop onboarding model, source/pieces/ already
# holds per-piece crops, so the pipeline reads them directly without slicing.
id,plate,section,bucket,status,notes
055,G,middle-wheel,,pending,Pinion (with 54-57 stack); pushes through star-shaped hole
056,G,middle-wheel,,pending,Star-cut pinion piece; slips over pinion 55
057,G,middle-wheel,,pending,Star-cut pinion piece; presses against pinion top
053,H,middle-wheel,,pending,"Small disc with starred center (pinion-mount, middle wheel); also referenced on plate G"
068,H,anchor-pendulum,,pending,Anchor fork; passes over beam piece 9
069,H,anchor-pendulum,,pending,Anchor-bearing box; + center mark
070,H,anchor-pendulum,,pending,Pendulum rod (long vertical strip); receives 71 at bottom
071,H,anchor-pendulum,,pending,Square ring; cut out center; glue between b/c of piece 70
072,H,anchor-pendulum,,pending,Pendulum blade with mounting-pin hole; squeeze into 70's slot
092a,H,hands,,pending,Narrow tongue piece; glues on top of 92 and 91 with axle holes coinciding. LETTER VARIANT.
094,H,anchor-pendulum,,pending,Pendulum-bob outer casing (long tapered tube)
095,H,anchor-pendulum,,pending,Pendulum hook outer shape; receives 96 in bottom
096,H,anchor-pendulum,,pending,Narrow cardboard reinforcement; glue to 1mm cardboard
097,H,anchor-pendulum,,pending,Pendulum-bob front face (large round disc); 'apply no glue here' inner rectangle
098,H,anchor-pendulum,,pending,"Bowed retainer; glues to 97 (bowed when glued, holds bob in place)"
099,H,anchor-pendulum,,pending,Saw-toothed crescent (decorative trim)
100,H,anchor-pendulum,,pending,Bob-position disc with F (fast/up) and S (slow/down) arrows
118,I,face-case,,pending,Case-side panel; * pin-hole markers; glues to b119/c119 underside of 117
119,I,face-case,,pending,Case-side panel; * pin-hole markers; glues to b118/c118 underside of 117
101,J,weight,,pending,"Weight cylinder development (rectangular sheet, multiple horizontal folds)"
102,J,weight,,pending,Wide labeled strip wrapped around 101
108,J,face-case,,pending,Minute hand (solid black silhouette); glue on heavy cardboard
109,J,face-case,,pending,Hour hand (solid black silhouette); glue on heavy cardboard
117,J,face-case,,pending,Case top with chamfered corners; central 'front' tab
121,M,face-case,,pending,"Clock face: tan/brown border, off-white field, numbers 1-12, minute marks. Not numbered in print; assigned ID 121 for build authoring (closes the gap in non-contiguous source numbering)."
